user	dzień dobry
system	Witam w systemie do składania zamówień w McDonalds. W czym mogę pomóc?
user	chciałbym zamówić 9 nuggetsów, frytki i fante
user	i sos BBQ
system	Dodałem Sos BBQ oraz Kurczak McNuggets® (9 szt.) z frytkami i fantą w zestawie do zamówienia. Czy coś na deser?
user	nie dziekuje
system	Czy podać coś jeszcze?
user	nie dziękuję
system	Za Sos BBQ oraz Kurczak McNuggets® (9 szt.) z frytkami i fantą w zestawie w zestawie będzie razem 21,40 zł. Czas oczekiwania na dostawę wynosi około 40 min. Czy potwierdzić zamówienie?
user	tak
system	Zamówienie potwierdzone. Płatność za zamówienie u dostawcy. Czy mogę pomóc w czymś jeszcze?