user    Dzień dobry, chciałbym złożyć zamówienie    hello()
system  dzien dobry! czy ma pan juz wybrane danie, lub polecic coś panu?    welcomemsg()
user    Czy posiadają Państwo zupę dnia?    request(soup_of_the_day)
system	tak, rybna z owocami morza  inform(soup_of_the_day)
user	Jakie owoce morza wchodzą w skład?  request(ingridients=soup_of_the_day)
system	małże oraz homary   inform(ingridients=soup_of_the_day)
user	Jezus, to ile kosztuje ta zupa? request(price)
system	50 złotych porcja   inform(price)
user	Zdecydowanie za drogo... chciałbym dobrze zjeść, ale tanio  infrom(too_expensive)&request(cheap_meal)
system	najtansza pozycja u nas to frytki belgisjkie 14,99zł    inform(cheap_meal)
user	Ale czy tym się najem?  request(cheap_meal_filling)
system	to zalezy od pana   inform(cheap_meal_filling)
user	Dobrze, w takim razie poproszę frytki belgijskie z sosem 1000 wysp  inform(order=['frytki belgijskie', 'sos 1000 wysp'])
user    I małą colę inform(order=['frytki belgijskie', 'sos 1000 wysp', ])
system	27,99 zł    inform(order_price)
user	super   confirm(order)
user	to wszystko z mojej strony. Czekam na zamówienie.   infrom(thats_all)
system	Dziekujemy, polceamy sie na przyszłosc  bye()